input_text,target_text,corrected_text
john put under the bathtub.,John hid under the bathtub.  ,John put under the bathtub.
anson demonized up the khyber,Anson demonized his enemies up the Khyber.  ,Anton demonized up the khyber
john perfectly learned french immediately.,John immediately learned French perfectly.  ,John perfectly learned French immediately.
wash you!,Clean yourself!  ,Wash you!
some my jobs are in jeopardy.,Some of my jobs are in jeopardy.  ,some jobs are in jeopardy.
it's probable in general that he understands what's going on.,"It is probable, in general, that he understands what is happening.  ",It's probable in general that he understands what's going on.
"the sooner you call, the more carefully i know a man that will word the letter.","The sooner you call, the more carefully I will know how to word the letter.  ","The sooner you call, the more carefully I know a man that will word the letter."
"i know which book max read, and which book oscar hasn't done so.","I know which book Max read, and which book Oscar hasn’t read.  ","I know which book max read, and which book oscar hasn't done so."
"this is the problem that you'll beat the competition more easily, the sooner you solve.",This is the problem that you will beat the competition more easily by solving.  ,"This is the problem that you'll beat the competition more easily, the sooner you solve."
"he seems to become more corrupt, as any senator talks to more lobbyists.",He seems to become more corrupt as any senator talks to more lobbyists.  ,"He seems to become more corrupt, as any senator talks to more lobbyists."
john wrote books.,John wrote books.  ,John wrote books.
"drowning cats, which is against the law, are hard to rescue.","Drowning cats, which is against the law, are difficult to rescue.  ","Drowning cats, which is against the law, are hard to rescue."
john would be preferred to be the candidate.,John would be preferred as the candidate.  ,John would be preferred to be the candidate.
"i demand that the more john eat, the more he pays.","I demand that the more John eats, the more he pays.  ","I demand that the more john eat, the more he pays."
everyone hopes everyone to sleep.,Everyone hopes everyone else sleeps.  ,Everyone hopes everyone to sleep.
john fed the baby rice up.,John fed the baby rice.  ,John fed the baby rice up.
"stories about himself seem to show up more on the evening news, the more that john gets upset by them.","The more John gets upset by the stories, the more they seem to show up in the evening news.  ","Stories about himself seem to show up more in the evening news, the more that john gets upset by them."
i would like to could swim,I would like to be able to swim.  ,I would like to could swim
the problem's perception is quite thorough.,The perception of the problem is quite thorough.  ,The problem's perception is quite thorough.
carla slid at the book.,Carla slid the book across the table.  ,Carla slid at the book.
i squeaked the door.,I squeaked the door open.  ,I squeaked the door.
the building is tall and tall.,The building is extremely tall.  ,The building is tall and tall.
"you eat the more, the more you want.","The more you eat, the more you want.  ","You eat the more, the more you want."
mary persuaded that he should rest bill.,Mary persuaded Bill that he should rest.  ,Mary persuaded that he should rest bill.
i noticed kissing mary.,I noticed someone kissing Mary.  ,I noticed kissing mary.
"i remember john being discussed, but you recall sally being.","I remember John being discussed, but you recall Sally being discussed.  ","I remember john being discussed, but you recall sally being."
runs mary the marathon?,Does Mary run the marathon?  ,Runs mary the marathon?
the fact that no candidate was elected shows that he was inadequate.,The fact that no candidate was elected shows that he was inadequate.  ,The fact that no candidate was elected shows that he was inadequate.
"immediately, john probably will clearly learn french perfectly.","Immediately, John will probably clearly learn French perfectly.  ","Immediately, John probably will clearly learn French perfectly."
"clearly, john immediately will probably learn french perfectly.","Clearly, John will probably learn French perfectly immediately.  ","Clearly, John immediately will probably learn French perfectly."
bill floated into the cave for hours.,Bill floated in the cave for hours.  ,Bill floated into the cave for hours.
i thought he liked myself,I thought he liked me.  ,I thought he liked myself
janet broke bill on the finger.,Janet broke Bill’s finger.  ,Janet broke bill on the finger.
"ron wanted to be wearing a tuxedo to the party, but caspar didn't know whether to be.","Ron wanted to be wearing a tuxedo to the party, but Caspar didn’t know whether he should be wearing one.  ","Ron wanted to be wearing a tuxedo to the party, but caspar didn't know whether to be."
"i will, if i can work on it.",I will work on it if I can.  ,"I will, if I can work on it."
"we gave any senator enough opportunity and, sure enough, he succumbed to corruption.","We gave any senator enough opportunity, and sure enough, he succumbed to corruption.  ","We gave any senator enough opportunity and, sure enough, he succumbed to corruption."
sees he i often mary?,Does he often see Mary?  ,Sees he i often mary?
john tries him to win.,John tries to win.  ,John tries him to win.
ted cried to sleep.,Ted cried himself to sleep.  ,Ted cried to sleep.
aunt mary made the boys all a good mother.,Aunt Mary made all the boys appreciate a good mother.  ,Aunt mary made the boys all a good mother.
"which folks up at corporate headquarters do you think that the sooner you solve this problem, the quicker you'll be able to tell t to buzz off?",Which folks up at corporate headquarters do you think will be satisfied the sooner you solve this problem?  ,"Which folks up at corporate headquarters do you think that the sooner you solve this problem, the quicker you'll be able to tell t to buzz off?"
the kettle bubbled water up.,The kettle bubbled over with water.  ,The kettle bubbled water up.
give the bottle to the baby awake.,Give the bottle to the baby while awake.  ,Give the bottle to the baby awake.
how do you wonder which problem to solve?,How do you wonder which problem to solve?  ,How do you wonder which problem to solve?
the men arrived all.,All the men arrived.  ,The men arrived all.
did the child be in the school?,Was the child at school?  ,Did the child be in the school?
did calvin his homework?,Did Calvin do his homework?  ,Did calvin his homework?
i consider there a man in that garden.,I consider there to be a man in that garden.  ,I consider there a man in that garden.
john tries to meet not mary.,John tries not to meet Mary.  ,John tries to meet not mary.
"the more he reads, the more books i wonder to whom he will give.","The more he reads, the more I wonder to whom he will give the books.  ","The more he reads, the more books I wonder to whom he will give."
rich we have impeccable taste.,"We, being wealthy, have impeccable taste.  ",Rich we have impeccable taste.
this flyer and that flyer differ apart.,This flyer and that flyer differ significantly.  ,This foyer and that foyer differ apart.
the men were struck by the idea as nonsense.,The men were struck by the idea as nonsensical.  ,The men were struck by the idea as nonsense.
we yelled ourselves.,We yelled at each other.  ,We yelled ourselves.
spray the wall with all the paint.,Spray the wall with all the paint.  ,Spray the wall with all the paint.
the ball wriggled itself loose.,The ball wriggled itself loose.  ,The ball wriggled itself loose.
i only eat fish drunk raw.,I only eat raw fish when I am drunk.  ,I only eat fish drunk raw.
what does john wonder mary bought?,What does John wonder Mary buy?  ,What does john wonder mary bought?
"when bill smokes, much more does susan hate him.","When Bill smokes, Susan hates him even more.  ","When bill smokes, much more does susan hate him."
the boys were made a good mother.,The boys were made to appreciate a good mother.  ,The boys were made a good mother.
what the water did to the bottle was fill it.,What the water did to the bottle was fill it.  ,What the water did to the bottle was fill it.
"ron wanted to wear a tuxedo to the party, but caspar couldn't decide whether to.","Ron wanted to wear a tuxedo to the party, but Caspar couldn’t decide whether to wear one.  ","Ron wanted to wear a tuxedo to the party, but caspar couldn't decide whether to."
john likes not mary.,John does not like Mary.  ,John likes not mary.
mary wonders that bill will come.,Mary wonders if Bill will come.  ,Mary wonders that bill will come.
the socks are ready for for you to put on to be planned.,The socks are ready for you to put on.  ,The socks are ready for you to put on to be planned.
i wonder who what bought?,I wonder who bought what.  ,I wonder who what bought?
"sally explained the attempt to arrest holly, but only after i had denied the decision to.","Sally explained the attempt to arrest Holly, but only after I had denied the decision to do so.  ","Sally explained the attempt to arrest holly, but only after I had denied the decision to."
give the baby the bottle awake.,Give the baby the bottle while awake.  ,Give the baby the bottle awake.
"i don't plan to lock the door, no matter how fancy this hotel.","I don’t plan to lock the door, no matter how fancy this hotel is.  ","I don't plan to lock the door, no matter how fancy this hotel."
john sounded very.,John sounded very confident.  ,John sounded very.
kim put in the box.,Kim placed it in the box.  ,Kim put in the box.
"the harder it rains, how much faster a flow that do you see in the river?",The harder it rains; the faster the river's flow becomes.  ,"The harder it rains, how much faster a flow that do you see in the river?"
"the most you want, the least you eat.","The more you want, the less you eat.  ","The most you want, the least you eat."
you shouldn't play with rifles because play with rifles to is dangerous.,You shouldn’t play with rifles because it is dangerous to do so.  ,You shouldn't play with rifles because play with rifles to is dangerous.
"it is important the more you eat, the more careful for you to be.","It is important that the more you eat, the more careful you should be.  ","It is important the more you eat, the more careful with you to be."
mary tried john to go abroad.,Mary tried to persuade John to go abroad.  ,Mary tried john to go abroad.
mary's criticism him was cruel.,Mary’s criticism of him was cruel.  ,Mary's criticism him was cruel.
which house does your friend live?,Which house does your friend live in?  ,Which house does your friend live?
bill poorly recited his lines.,Bill poorly recited his lines.  ,Bill poorly recited his lines.
what did you ask who medea gave?,What did you ask about whom Medea gave something to?  ,What did you ask who medea gave?
john gave bill of the book.,John gave Bill part of the book.  ,John gave bill of the book.
"bill seems to be obnoxious, but i don't think that sam tends.","Bill seems obnoxious, but I don't think that Sam tends to behave that way.  ","Bill seems to be obnoxious, but I don't think that sam tends."
"i'll turn the radio down, but i won't up.","I’ll turn the radio down, but I won’t turn it up.  ","I'll turn the radio down, but I won't up."
"he seems to become more corrupt, the more lobbyists every senator talks to.",He seems to become more corrupt the more lobbyists every senator talks to.  ,"He seems to become more corrupt, the more lobbyists every senator talks to."
fruit dropped from the tree from the clouds.,Fruit dropped from the tree as if from the clouds.  ,Fruit dropped from the tree from the clouds.
the more pictures of john that he buys the more arrogant he becomes.,"The more pictures of John he buys, the more arrogant he becomes.  ",The more pictures of john that he buys the more arrogant he becomes.
"the more people you say that will buy tickets, the happier i'll be.","The more people you say will buy tickets, the happier I’ll be.  ","The more people you say that will buy tickets, the happier I'll be."
i raw eat fish drunk.,I eat raw fish when I am drunk.  ,I raw eat fish drunk.
the men were arrested all.,All the men were arrested.  ,The men were arrested all.
i want that bill left to remain a secret.,I want Bill’s departure to remain a secret.  ,I want that bill left to remain a secret.
"the harder it rains, the faster who runs?","The harder it rains, the faster he runs.  ","The harder it rains, the faster who runs?"
he impresses his friends all as pompous.,He impresses all his friends as being pompous.  ,He impresses his friends all as pompous.
mary is fond him.,Mary is fond of him.  ,Mary is fond him.
